Time,ProcessID
0,2
1,2
2,2
3,2
4,2
5,5
6,5
7,5
8,5
9,5
10,4
11,4
12,4
13,4
14,4
15,6
16,6
17,6
18,6
19,6
20,7
21,7
22,7
23,7
24,7
25,8
26,8
27,8
28,8
29,8
30,1
31,1
32,1
33,1
34,1
35,3
36,3
37,3
38,3
39,3
40,9
41,9
42,9
43,9
44,9
45,10
46,10
47,10
48,10
49,10
50,2
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,4
62,4
63,4
64,4
65,6
66,6
67,6
68,6
69,6
70,6
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,8
80,8
81,8
82,8
83,8
84,8
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,9
106,9
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,5
126,5
127,5
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,3
136,3
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,10
150,10
151,10
152,10
153,10
154,10
