Time,ProcessID
0,2
1,2
2,2
3,2
4,2
5,6
6,6
7,6
8,6
9,6
10,8
11,8
12,8
13,8
14,8
15,6
16,6
17,6
18,6
19,6
20,8
21,8
22,8
23,8
24,8
25,6
26,8
27,2
28,4
29,4
30,4
31,4
32,4
33,7
34,7
35,7
36,7
37,7
38,1
39,1
40,1
41,1
42,1
43,4
44,4
45,4
46,4
47,7
48,7
49,7
50,7
51,7
52,1
53,1
54,1
55,1
56,1
57,7
58,7
59,7
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,5
73,5
74,5
75,5
76,5
77,3
78,3
79,3
80,3
81,3
82,9
83,9
84,9
85,9
86,9
87,10
88,10
89,10
90,10
91,10
92,5
93,5
94,5
95,5
96,5
97,3
98,3
99,3
100,3
101,3
102,9
103,9
104,9
105,9
106,9
107,10
108,10
109,10
110,10
111,10
112,5
113,5
114,5
115,5
116,5
117,3
118,3
119,3
120,3
121,3
122,9
123,9
124,9
125,9
126,9
127,10
128,10
129,10
130,10
131,10
132,5
133,5
134,5
135,3
136,3
137,9
138,9
139,9
140,9
141,9
142,10
143,10
144,10
145,10
146,10
147,9
148,9
149,9
150,9
151,9
152,10
153,9
154,9
